split,filename,path,sha256
train,0001.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0001.png,cdb20d7a462744c269d8e197f735c7bc42e7cda367a940a9b7bc27803b1c8619
train,0002.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0002.png,82325cea74c2cd4681f69a10e36ba15c896d99ec47dc2c687ef07f7497781e09
train,0003.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0003.png,ca9df4e0b258dee3ca63182e7204096818356a63e44f7c6eb3a632ca91516eb3
train,0004.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0004.png,6675cdedc1665477fd40ea026080083244aab895012e2571383661c1d5614776
train,0005.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0005.png,480d3a479aa5e317b070a952a75162974622ee7c2518fbf6327432151cbc3fba
train,0006.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0006.png,bb01a167662a12c570d36f7653798bde06d6ff09f713519dd24309e1e6dffbba
train,0007.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0007.png,5e9400ebfa394ed8966437bf83e12cf56f04c41cadd2a00820b51746c04551cd
train,0008.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0008.png,d3ca47ccccac86959e75065205e6fa084c9479adf31901d52c39d7be8ae8377f
train,0009.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0009.png,8a508c3fbe3731e947e9a7decf629b0accf052f266962389221f1aeb2148bafc
train,0010.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0010.png,d916c83a32aeb5a812fb20f2b36c3b7395a39fac66d99b2637cf157cf4bf2687
train,0011.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0011.png,eb4e0dc6828755dcd0a8977f7d84d128de00da6415456702442ba187a2d74c11
train,0012.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0012.png,33617d0cda2dfc91890d13462e70c4a57b495db1391a3d1930213aadbd9ad955
train,0013.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0013.png,64158f359000e81c3e19bc8a43632ee40ef9b400768322ff21046f51c59ae2dc
train,0014.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0014.png,889f6c91540d49632e3d55fadeced0d8afb05d8c352fbf78b86461826eb31cd1
train,0015.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0015.png,269800f7a5bf449ac260560b29bb9997c99b97db205509af6a0245421d5b2d70
train,0016.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0016.png,d9863e6c6f0ffad885d0a6085865dd90f272a278e2681f03dc410a488e227cd3
train,0017.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0017.png,ef5e86d335c807fcaa696bc4616ec052d5df5eda81ca9af3dd5bb550c3c66dd9
train,0018.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0018.png,ed54c64959e8fc7c0db11b2b355909eebc83d5d0786dc6c25fe46edd5e2071cd
train,0019.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0019.png,ffe28d0e27ae27ba533c54cafc7ff555066ccfe770d0fee7d2299e0c10be6668
train,0020.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0020.png,dd0eca7b184c42e1d4cf92cd252af9a47eb1d099f0637844ed658929f2712b0b
train,0021.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0021.png,db209727f57f4e2704afc97b034323b688b8fc787e64eb347327b4b2a74345fe
train,0022.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0022.png,355073a33f0e281cbf1265d2cf275c85445eed6d54fcd4c6a3e18c57d0fbfb75
train,0023.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0023.png,9b7f64067823e9bea8aae650e2cbff0d6482b24af111cc8728136e165d43e216
train,0024.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0024.png,bbd58cb2a5b1f8c4e78a123ddc0bd950b1d433d7f0a0cc75d8c4544b0db48434
train,0025.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0025.png,acf348dbd091edbbc8b485f6b846aefa84ad79e3777403534ae8457973e2e4dc
train,0026.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0026.png,1187f8104782b6afdf3494b010272d76f3f1a4cbadc702172802de1af07e560c
train,0027.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0027.png,a0acf5170e6d83818a5d11fc7a7505e59a2f5808d21c066bcee762ba870602e5
train,0028.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0028.png,3001a82078238b2436a6ce8be9a5d7b5125d7fd7ce94c4a3c9b4ab1051df6867
train,0029.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0029.png,2ea806b9ed81391db424b8936f3b721e7c30a98bc904eb599aec23f53060a39d
train,0030.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0030.png,c3f5e4c388e62f356db1463e851a576bb2f71d60daa15fad01dfcb46844b2158
train,0031.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0031.png,b85975a37b5573d62b44f17946758bfae27de0ed2e61c0cffd594af73356a7df
train,0032.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0032.png,22eba96aa4473f913b5680f9dd3c515391c0a244a73f94d877f83450d47856f4
train,0033.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0033.png,b8387c0a631a455b54a3d30d2e13da4790e2ac1c0dbef8fcb8b126d70cab8e75
train,0034.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0034.png,aa96008e8970e61523db10ec07bc68847f39dcb4dc4e263b4f3f35b76bf832ad
train,0035.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0035.png,3da333caf87ebffb5d5fe41796ec9d3b3786017ebd8a6d2c5b901457e3c26065
train,0036.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0036.png,20fcb9d1d5656076152c45069eb9c11b7ff39ffd5f953ad285be34e8ecd36d4d
train,0037.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0037.png,cefa928c443f2fe8d40e06be3e2ca5f6b2909fed240fd2b6c13104d560d540b4
train,0038.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0038.png,26978f22aced05803848b76e5e973d0505d9fdb63dab0ca4aaf818a280540cb1
train,0039.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0039.png,d695177bc34e023d93b7fe641d9d6c05a24dc18f61b9340b6dc14b30f1793127
train,0040.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0040.png,6ad282af914594b465c7a85b7cfb62ff3217965972507ab8c19a182410b94afb
train,0041.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0041.png,0d51db383545d05c9dc58aa72d4443fe0c1c2d722932b775adc369ab096682ce
train,0042.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0042.png,407e771222779770767e7da6326861c634a8a4b58a2636aaf0cecc3a27dbc5bc
train,0043.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0043.png,b8175c1b3283a3446dace54a8923a763fa57a9771bff1b139fe9e568f35ae2a2
train,0044.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0044.png,9bd8c33275a95d23a90b23fb61036ed46b4ef79d5aee58630fccf57bb2e16c92
train,0045.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0045.png,3533963e4d5636e858cee849e7795c34bb7ece9df01f7e1bda76bd6534d7130e
train,0046.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0046.png,7d93cfe3b0d3b0f8d151cc9628b1a18458ede730e399e995574fcdfa9ff819a2
train,0047.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0047.png,09dcd42ba113259c8c6ff8a32856b0a2ce4ff4a006f00f90324dcce8263cbdcb
train,0048.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0048.png,10cec6d9f086aa5dba44ac25764bf60a656bc715bde7badb06e60d8f97a95bc8
train,0049.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0049.png,78877e90175ad87cad996c302c0158f11c32779772af0b95363258b50f1f4122
train,0050.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0050.png,a5c5e4edc3c67e23077367a1686a3b17b28d15be53a870a714de072aef5357ae
train,0051.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0051.png,f25ec1c2b48880a1c18d0aea35e58e4c3fca88f232e8d68b53fd3a2f64e1d4ca
train,0052.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0052.png,c71e0d23c8404a10e802d8ae12596808e5a8fe6d799f7dc991109e7e8967a830
train,0053.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0053.png,851bd616928f0bdcb3f0fd12e4e132aaf23d7921e2d72979480e1c1712fe39b3
train,0054.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0054.png,895c6a2652e8e26c325464f5664392795116b5b2587a2ddaf4e1fa46d15db862
train,0055.png,/mnt/wmcontent/GLX/icassp/MBRS/datasets/train/0055.png,90365ae45ad57b38aaf7f0307e3a175dafaa34ee067801b6a38e82421cde356a
